"study_name","feature_id","species","n_control","n_crc","mean_control","mean_crc","median_control","median_crc","diff_mean","p_value","fdr","direction"
"ZellerG_2014","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii","Anaerobutyricum hallii",61,53,-0.387529354634988,-1.06791600769896,-0.000599740301078769,-0.645641817264679,-0.680386653063977,0.000464455847723763,0.0730356820545618,"depleted_in_crc"
"ZellerG_2014","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bicirculans","Ruminococcus bicirculans",61,53,-1.77723726573505,-3.21232052040538,-0.61117084610116,-5,-1.43508325467033,0.000600745933255854,0.0755738384035864,"depleted_in_crc"
"ZellerG_2014","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus","Anaerostipes hadrus",61,53,0.08442473121041,-0.746065588575608,0.167813387893944,-0.395244905355167,-0.830490319786018,0.000861466547709151,0.0903104097515093,"depleted_in_crc"
"ZellerG_2014","k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius","Streptococcus salivarius",61,53,-0.850808569377684,-2.03838842808573,-0.972487307551189,-1.48958905198982,-1.18757985870804,0.00126811913339695,0.092765555202546,"depleted_in_crc"
"ZellerG_2014","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens","Lachnospira eligens",61,53,-0.448797789157782,-1.50274798064271,0.260665154023354,-0.461627375009844,-1.05395019148492,0.00132732908874867,0.092765555202546,"depleted_in_crc"
"ZellerG_2014","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae","Blautia wexlerae",61,53,-0.806074141097353,-1.54886367314562,-0.62364207017276,-1.14660602254933,-0.742789532048264,0.00108602879564086,0.092765555202546,"depleted_in_crc"
"ZellerG_2014","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_asaccharolytica","Porphyromonas asaccharolytica",61,53,-4.90313452884007,-4.22258801020922,-5,-5,0.680546518630859,0.00166719066601302,0.09715777285979,"enriched_in_crc"
"ZellerG_2014","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Pseudoflavonifractor|s__Pseudoflavonifractor_sp_An184","Pseudoflavonifractor sp. An184",61,53,-4.97468740910901,-4.40734427969386,-5,-5,0.567343129415147,0.00169910254603766,0.09715777285979,"enriched_in_crc"
"ZellerG_2014","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum","Bifidobacterium catenulatum",61,53,-3.63585221721029,-4.61382240412807,-5,-5,-0.977970186917785,0.00188508715385194,0.0988099849810728,"depleted_in_crc"
"ZellerG_2014","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis","Roseburia intestinalis",61,53,-1.38749203703071,-2.46014750450053,-0.502932063601495,-1.61278819968627,-1.07265546746981,0.00205131877448519,0.0992522699347064,"depleted_in_crc"
"ZellerG_2014","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale","[Eubacterium] rectale",61,53,-0.354342723348976,-1.11812166034103,0.326051017854496,-0.667198096822017,-0.76377893699205,0.00245022981044158,0.110085325054839,"depleted_in_crc"
"ZellerG_2014","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum","Eubacterium ventriosum",61,53,-1.54415259526297,-2.70488206260781,-0.628138197379105,-2.30189945437661,-1.16072946734484,0.00333338733136218,0.139780042095121,"depleted_in_crc"
"ZellerG_2014","k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_sp_oral_taxon_370","Fusobacterium sp. oral taxon 370",61,53,-5,-4.55824798001204,-5,-5,0.441752019987963,0.00363545772084114,0.142918931650567,"enriched_in_crc"
"ZellerG_2014","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor|s__Flavonifractor_plautii","Flavonifractor plautii",61,53,-2.42187369380106,-1.58816802313406,-1.63022771140304,-0.968753163767325,0.833705670666998,0.00437252722937542,0.161783507486891,"enriched_in_crc"
"ZellerG_2014","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_symbiosum","[Clostridium] symbiosum",61,53,-4.09925266879002,-3.1616780756263,-5,-5,0.937574593163728,0.00513329212793181,0.174059027891599,"enriched_in_crc"
"ZellerG_2014","k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp_A12","Streptococcus sp. A12",61,53,-3.81804445494313,-4.5047410263608,-5,-5,-0.686696571417671,0.00525774488066832,0.174059027891599,"depleted_in_crc"
"ZellerG_2014","k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia","Bilophila wadsworthia",61,53,-2.66183368971018,-1.9740880689047,-2.07109230975605,-1.5217221680804,0.687745620805476,0.00563809675031629,0.177318142797447,"enriched_in_crc"
