"study_name","feature_id","species","n_control","n_crc","mean_control","mean_crc","median_control","median_crc","diff_mean","p_value","fdr","direction"
"VogtmannE_2016","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_sp_CAG_257","Blautia sp. CAG:257",52,52,-3.1834353807619,-2.8718243161961,-5,-2.87418088977589,0.311611064565801,0.412164275532836,0.671167808193953,"enriched_in_crc"
"VogtmannE_2016","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_sp_N6H1_15","Blautia argi",52,52,-4.59060971115667,-4.72249158514115,-5,-5,-0.131881873984484,0.512743966267486,0.753049040376499,"depleted_in_crc"
"VogtmannE_2016","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae","Blautia wexlerae",52,52,-1.40722399826018,-1.00548862523599,-1.01100333366352,-0.861428570272338,0.401735373024192,0.0959772595398616,0.564406516263356,"enriched_in_crc"
"VogtmannE_2016","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_gnavus","[Ruminococcus] gnavus",52,52,-2.49337842636148,-1.58092496685177,-2.22154736547228,-0.938462702885247,0.912453459509704,0.0182604872572962,0.552996392632561,"enriched_in_crc"
"VogtmannE_2016","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques","[Ruminococcus] torques",52,52,-1.05639243113042,-1.45743753494477,-0.349479554446364,-0.123606055975668,-0.401045103814344,0.950549665624334,1,"depleted_in_crc"
"VogtmannE_2016","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_crossotus","Butyrivibrio crossotus",52,52,-3.51584452666665,-4.17954053112467,-5,-5,-0.663696004458026,0.186877274738802,0.564406516263356,"depleted_in_crc"
"VogtmannE_2016","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_sp_CAG_318","Butyrivibrio sp. CAG:318",52,52,-4.20121425687263,-4.67541466837496,-5,-5,-0.474200411502326,0.165053950726839,0.564406516263356,"depleted_in_crc"
"VogtmannE_2016","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Catonella|s__Catonella_morbi","Catonella morbi",52,52,-5,-5,-5,-5,0,NA,NA,"no_difference"
"VogtmannE_2016","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Cellulosilyticum|s__Cellulosilyticum_lentocellum","Cellulosilyticum lentocellum",52,52,-5,-4.86667605011201,-5,-5,0.133323949887993,0.159309393367584,0.564406516263356,"enriched_in_crc"
"VogtmannE_2016","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus","Coprococcus catus",52,52,-2.03013391722429,-2.33362206513199,-1.11045785772658,-1.23343509432449,-0.303488147907697,0.73004212262378,0.876390740172952,"depleted_in_crc"
"VogtmannE_2016","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes","Coprococcus comes",52,52,-0.935725376899496,-1.41782820762405,-0.470357258246966,-0.413603782120511,-0.482102830724555,0.971414240809227,1,"depleted_in_crc"
