"species","n_studies_tested","n_sig","n_enriched_crc","n_depleted_crc","mean_diff"
"Anaerobutyricum hallii",11,0,0,0,-0.191950893893503
"Holdemanella biformis",11,0,0,0,0.191699158817201
"Turicibacter sanguinis",11,0,0,0,-0.190802945908359
"Lachnoclostridium sp. An131",11,0,0,0,0.19051531967504
"Ligilactobacillus salivarius",11,0,0,0,0.189550452750216
"Phocaeicola vulgatus",11,0,0,0,0.181324261911496
"Clostridium sp. CAG:167",11,0,0,0,-0.180731792237354
"Catenibacterium mitsuokai",11,0,0,0,0.180444232982337
"Lactobacillus paragasseri",11,0,0,0,0.177798114739565
"Eikenella corrodens",11,0,0,0,0.17598038608583
"Parasutterella excrementihominis",11,0,0,0,-0.175770553118288
"Firmicutes bacterium CAG:110",11,0,0,0,-0.174632846686448
"Fusobacterium mortiferum",11,0,0,0,0.171956164222361
"Coprococcus eutactus",11,0,0,0,-0.170756558544896
"Desulfovibrionaceae bacterium",11,0,0,0,0.169682651033095
"Slackia exigua",11,0,0,0,0.168776604309127
"Actinomyces graevenitzii",11,0,0,0,0.168681361442351
"Schaalia turicensis",11,0,0,0,0.159882289342101
"Eubacterium sp. CAG:274",11,0,0,0,-0.157486864392453
"Lancefieldella rimae",11,0,0,0,0.156272103480267
"Actinomyces sp. oral taxon 181",11,0,0,0,0.154293477814299
"Alistipes onderdonkii",11,0,0,0,0.152995097472823
"Fusobacterium necrophorum",11,0,0,0,0.149847970731462
"Ruminococcus sp. CAG:488",11,0,0,0,0.14978801332355
"Klebsiella oxytoca",11,0,0,0,0.148770563175697
"Fusobacterium periodonticum",11,0,0,0,0.144869528211242
"Clostridium sp. CAG:413",11,0,0,0,0.143737397515953
"[Ruminococcus] lactaris",11,0,0,0,-0.143668777506175
"Enterococcus faecalis",11,0,0,0,0.141181273467058
"Roseburia hominis",11,0,0,0,-0.137316781817671
"Roseburia sp. CAG:471",11,0,0,0,-0.137041679899274
"Clostridium sp. CAG:253",11,0,0,0,-0.136463804425717
"Sanguibacteroides justesenii",11,0,0,0,0.136062996850064
"Dorea formicigenerans",11,0,0,0,0.134458697873897
"Klebsiella michiganensis",11,0,0,0,0.13407191097351
"Aeriscardovia aeriphila",11,0,0,0,-0.132946312915864
"Prevotella sp. CAG:1092",11,0,0,0,0.13274899320616
"Coprococcus comes",11,0,0,0,-0.131140672968027
"Romboutsia ilealis",11,0,0,0,-0.130854040779988
"Alloprevotella sp. oral taxon 473",11,0,0,0,0.129801977049468
"Prevotella sp. 885",11,0,0,0,0.127831545870864
"Cloacibacillus porcorum",11,0,0,0,0.126337006711401
"Prevotella bivia",11,0,0,0,0.125721314183289
"Mogibacterium timidum",11,0,0,0,0.124956047524299
"Gemella sanguinis",11,0,0,0,0.124937143442907
"Schaalia cardiffensis",11,0,0,0,0.124872043553947
"Faecalitalea cylindroides",11,0,0,0,0.124682611954434
"Alistipes inops",11,0,0,0,0.123537188117119
"Prevotella sp. CAG:873",11,0,0,0,0.122895212487007
"Campylobacter ureolyticus",11,0,0,0,0.122728158411832
"Lactobacillus delbrueckii",11,0,0,0,-0.12254856495257
"Blautia wexlerae",11,0,0,0,-0.118461454894751
"[Clostridium] methylpentosum",11,0,0,0,0.117867349309813
"Lachnoclostridium sp. An138",11,0,0,0,0.117497111876714
"Phascolarctobacterium sp. CAG:266",11,0,0,0,-0.116255198362543
"Actinomyces sp. S6-Spd3",11,0,0,0,0.115931089650784
"Fusobacterium varium",11,0,0,0,0.115769868869725
"Phocaeicola coprophilus",11,0,0,0,0.115577910167383
"Streptococcus infantis",11,0,0,0,0.115404743058093
"Bifidobacterium catenulatum",22,0,0,0,-0.114585996931249
"Rothia mucilaginosa",11,0,0,0,-0.114220868573956
"Enterocloster asparagiformis",11,0,0,0,0.113500679870778
"Bifidobacterium angulatum",11,0,0,0,-0.110840452410415
"Victivallis vadensis",11,0,0,0,0.110440244078781
"Pyramidobacter piscolens",11,0,0,0,0.109581202234637
"Eubacterium limosum",11,0,0,0,0.107591303889811
"Streptococcus milleri",11,0,0,0,0.10672843963888
"[Clostridium] hylemonae",11,0,0,0,0.105990597857192
"Firmicutes bacterium CAG:83",11,0,0,0,-0.105793405356962
"Fusobacterium naviforme",11,0,0,0,0.103852779074129
"Eubacterium ramulus",11,0,0,0,-0.103252781730481
"Dorea longicatena",11,0,0,0,-0.100940597301889
"Blautia producta",11,0,0,0,-0.100878044641134
"Clostridium bolteae CAG:59",11,0,0,0,0.100857826533911
"Blautia obeum",11,0,0,0,-0.100615904302087
"Aggregatibacter segnis",11,0,0,0,0.100452918534231
"Streptococcus gordonii",11,0,0,0,0.100433968232582
